DC_ID	DCC_ID
DC000047	DCC0165
DC000048	DCC0086
DC000048	DCC0240
DC000049	DCC0222
DC000049	DCC0260
DC000050	DCC0137
DC000050	DCC0260
DC000051	DCC0364
DC000051	DCC0401
DC000052	DCC0091
DC000052	DCC0107
DC000053	DCC0052
DC000053	DCC0352
DC000053	DCC0413
DC000054	DCC0102
DC000054	DCC0413
DC000055	DCC0065
DC000055	DCC0413
DC000056	DCC0047
DC000056	DCC0060
DC000057	DCC0021
DC000057	DCC0175
DC000058	DCC0243
DC000058	DCC0282
DC000059	DCC0069
DC000059	DCC0100
DC000060	DCC0028
DC000060	DCC0111
DC000060	DCC0228
DC000061	DCC0049
DC000061	DCC0265
DC000062	DCC0102
DC000062	DCC0319
DC000063	DCC0091
DC000063	DCC0102
DC000064	DCC0053
DC000064	DCC0101
DC000065	DCC0058
DC000065	DCC0261
DC000066	DCC0214
DC000066	DCC0463
DC000067	DCC0184
DC000067	DCC0395
DC000068	DCC0049
DC000068	DCC0081
DC000068	DCC0214
DC000069	DCC0041
DC000069	DCC0049
DC000069	DCC0214
DC000070	DCC0098
DC000070	DCC0214
DC000071	DCC0112
DC000071	DCC0282
DC000072	DCC0163
DC000072	DCC0312
DC000073	DCC0072
DC000073	DCC0219
DC000074	DCC0124
DC000074	DCC0325
DC000075	DCC0124
DC000075	DCC0184
DC000076	DCC0145
DC000076	DCC0260
DC000077	DCC0143
DC000077	DCC0184
DC000078	DCC0184
DC000078	DCC0193
DC000078	DCC0257
DC000079	DCC0184
DC000079	DCC0200
DC000079	DCC0257
DC000079	DCC0447
DC000080	DCC0172
DC000080	DCC0325
DC000081	DCC0116
DC000081	DCC0202
DC000082	DCC0214
DC000082	DCC0282
DC000083	DCC0357
DC000083	DCC0404
DC000084	DCC0117
DC000084	DCC0128
DC000084	DCC0329
DC000085	DCC0037
DC000085	DCC0460
DC000086	DCC0089
DC000086	DCC0229
DC000087	DCC0073
DC000087	DCC0292
DC000088	DCC0009
DC000088	DCC0288
DC000089	DCC0008
DC000089	DCC0050
DC000090	DCC0408
DC000090	DCC0435
DC000091	DCC0285
DC000091	DCC0318
DC000091	DCC0385
DC000092	DCC0154
DC000092	DCC0408
DC000093	DCC0256
